Hash 0,74
Hash 1,80
Hash 2,79
Hash 3,95
Hash 4,83
Hash 5,83
Hash 6,96
Hash 7,78
Hash 8,102
Hash 9,101
Hash 10,68
Hash 11,75
Hash 12,89
Hash 13,109
Hash 14,70
Hash 15,93
Hash 16,83
Hash 17,107
Hash 18,90
Hash 19,97
Hash 20,85
Hash 21,100
Hash 22,86
Hash 23,73
Hash 24,73
Hash 25,84
Hash 26,82
Hash 27,102
Hash 28,83
Hash 29,96
Hash 30,89
Hash 31,79
Hash 32,88
Hash 33,97
Hash 34,78
Hash 35,96
Hash 36,81
Hash 37,93
Hash 38,63
Hash 39,98
Hash 40,86
Hash 41,107
Hash 42,97
Hash 43,63
Hash 44,61
Hash 45,103
Hash 46,85
Hash 47,66
Hash 48,94
Hash 49,101
Hash 50,80
Hash 51,95
Hash 52,74
Hash 53,83
Hash 54,93
Hash 55,77
Hash 56,99
Hash 57,91
Hash 58,89
Hash 59,107
Hash 60,79
Hash 61,87
Hash 62,71
Hash 63,92
Hash 64,78
Hash 65,104
Hash 66,81
Hash 67,112
Hash 68,87
Hash 69,91
Hash 70,92
Hash 71,99
Hash 72,84
Hash 73,75
Hash 74,88
Hash 75,83
Hash 76,76
Hash 77,95
Hash 78,92
Hash 79,79
Hash 80,71
Hash 81,86
Hash 82,89
Hash 83,103
Hash 84,76
Hash 85,94
Hash 86,93
Hash 87,81
Hash 88,101
Hash 89,80
Hash 90,88
Hash 91,97
Hash 92,107
Hash 93,91
Hash 94,89
Hash 95,62
Hash 96,76
Hash 97,81
Hash 98,85
Hash 99,80
Hash 100,92
Hash 101,84
Hash 102,83
Hash 103,78
Hash 104,89
Hash 105,88
Hash 106,74
Hash 107,97
Hash 108,100
Hash 109,94
Hash 110,80
Hash 111,69
Hash 112,90
Hash 113,95
Hash 114,90
Hash 115,99
Hash 116,101
Hash 117,81
Hash 118,100
Hash 119,99
Hash 120,91
Hash 121,71
Hash 122,80
Hash 123,86
Hash 124,94
Hash 125,105
Hash 126,74
Hash 127,111
Hash 128,77
Hash 129,94
Hash 130,100
Hash 131,91
Hash 132,86
Hash 133,91
Hash 134,101
Hash 135,87
Hash 136,110
Hash 137,86
Hash 138,101
Hash 139,96
Hash 140,82
Hash 141,82
Hash 142,97
Hash 143,88
Hash 144,76
Hash 145,94
Hash 146,95
Hash 147,95
Hash 148,92
Hash 149,76
Hash 150,99
Hash 151,93
Hash 152,78
Hash 153,79
Hash 154,99
Hash 155,103
Hash 156,77
Hash 157,78
Hash 158,81
Hash 159,87
Hash 160,90
Hash 161,84
Hash 162,80
Hash 163,63
Hash 164,84
Hash 165,78
Hash 166,63
Hash 167,93
Hash 168,87
Hash 169,85
Hash 170,98
Hash 171,81
Hash 172,90
Hash 173,79
Hash 174,89
Hash 175,89
Hash 176,80
Hash 177,78
Hash 178,86
Hash 179,93
Hash 180,78
Hash 181,91
Hash 182,97
Hash 183,76
Hash 184,93
Hash 185,87
Hash 186,84
Hash 187,97
Hash 188,89
Hash 189,78
Hash 190,96
Hash 191,84
Hash 192,97
Hash 193,87
Hash 194,79
Hash 195,76
Hash 196,102
Hash 197,80
Hash 198,75
Hash 199,90
Hash 200,69
Hash 201,82
Hash 202,91
Hash 203,77
Hash 204,88
Hash 205,98
Hash 206,60
Hash 207,99
Hash 208,69
Hash 209,79
Hash 210,94
Hash 211,95
Hash 212,98
Hash 213,86
Hash 214,97
Hash 215,89
Hash 216,86
Hash 217,82
Hash 218,98
Hash 219,78
Hash 220,96
Hash 221,81
Hash 222,100
Hash 223,89
Hash 224,80
Hash 225,97
Hash 226,79
Hash 227,87
Hash 228,81
Hash 229,66
Hash 230,80
Hash 231,99
Hash 232,102
Hash 233,99
Hash 234,99
Hash 235,69
Hash 236,101
Hash 237,111
Hash 238,93
Hash 239,88
Hash 240,78
Hash 241,80
Hash 242,87
Hash 243,87
Hash 244,97
Hash 245,94
Hash 246,91
Hash 247,109
Hash 248,77
Hash 249,88
Hash 250,80
Hash 251,64
Hash 252,85
Hash 253,89
Hash 254,94
Hash 255,86
